equipment_id,equipment_type,model,serial_number,location,status,install_date,last_maintenance_date,operating_hours
AC-001,Air Compressor,Model-471,SN-541591,Warehouse,Active,2022-12-28,2025-09-17,38946.2
HS-002,HVAC System,Model-423,SN-833873,Yard,Active,2018-09-19,2025-10-01,26986.5
M-003,Mixer,Model-495,SN-276023,Building A,Active,2022-07-13,2025-07-30,39149.5
F-004,Forklift,Model-397,SN-290965,Production Floor,Active,2019-03-27,2025-07-24,31955.3
CT-005,Cooling Tower,Model-910,SN-594262,Building B,Active,2022-11-16,2025-09-12,28148.8
G-006,Gearbox,Model-336,SN-752420,Production Floor,Active,2023-11-03,2025-11-24,15827.7
HP-007,Hydraulic Pump,Model-761,SN-737485,Building B,Active,2020-08-24,2025-12-24,15098.0
CP-008,Centrifugal Pump,Model-603,SN-468019,Yard,Active,2023-12-09,2025-09-15,5658.4
HP-009,Hydraulic Press,Model-252,SN-559610,Yard,Active,2021-08-23,2025-08-25,18972.9
HP-010,Hydraulic Pump,Model-506,SN-755227,Yard,Active,2024-02-22,2025-12-08,23867.9
CP-011,Centrifugal Pump,Model-178,SN-141116,Building B,Active,2022-10-16,2025-09-14,33737.2
HS-012,HVAC System,Model-191,SN-311855,Building B,Active,2019-09-16,2025-08-17,46948.5
CT-013,Cooling Tower,Model-211,SN-205315,Warehouse,Active,2020-07-25,2025-11-14,30400.4
AC-014,Air Compressor,Model-739,SN-264886,Building B,Active,2019-01-04,2025-09-08,14762.6
CP-015,Centrifugal Pump,Model-794,SN-670590,Building A,Active,2022-07-17,2025-11-30,28391.9
B-016,Blower,Model-723,SN-890304,Production Floor,Active,2023-06-09,2025-09-11,5868.0
CB-017,Conveyor Belt,Model-355,SN-892571,Production Floor,Active,2021-07-28,2025-12-18,5549.3
ST-018,Storage Tank,Model-973,SN-379481,Production Floor,Active,2023-09-30,2025-11-16,22200.7
M-019,Mixer,Model-849,SN-407562,Building B,Active,2019-12-24,2025-08-13,31009.7
G-020,Gearbox,Model-107,SN-499953,Building A,Active,2019-06-30,2025-07-21,17727.0
HS-021,HVAC System,Model-713,SN-909349,Yard,Active,2022-10-27,2025-09-18,36431.3
HS-022,HVAC System,Model-334,SN-132178,Building A,Active,2023-06-29,2025-09-01,4038.5
G-023,Gearbox,Model-329,SN-829725,Warehouse,Active,2019-09-10,2025-07-29,41534.2
HS-024,HVAC System,Model-126,SN-436233,Warehouse,Active,2018-12-10,2025-08-08,47804.6
B-025,Boiler,Model-676,SN-745794,Warehouse,Active,2018-09-16,2025-09-19,11929.7
