wo_number,equipment_id,equipment_type,wo_type,status,created_date,scheduled_date,completed_date,assigned_technician,downtime_hours,labor_hours,part_number,priority,description
WO-25238,AC-036,Air Compressor,Corrective,Completed,2026-01-10,2026-01-12,2026-01-15,Jennifer Lee,19.7,29.7,CYL-434,Medium,Hydraulic cylinder failure - production down
WO-25699,HP-009,Hydraulic Press,Preventive,In Progress,2026-01-10,2026-01-11,,David Kim,0.0,,,Medium,Quarterly PM - filters and oil change
WO-25614,C-046,Crane,Preventive,Scheduled,2026-01-10,2026-01-15,,Maria Garcia,0.0,,,Medium,Quarterly maintenance cycle
WO-25753,RA-093,Robotic Arm,Scheduled Inspection,Open,2026-01-10,2026-01-13,,Mike Thompson,0.0,,,Low,Replace mechanical seal - excessive leaking
WO-25482,C-053,Chiller,Corrective,Cancelled,2026-01-10,2026-01-11,,Maria Garcia,13.1,,PUM-102,Low,Hydraulic cylinder failure - production down
WO-25691,HS-058,HVAC System,Scheduled Inspection,In Progress,2026-01-10,2026-01-14,,John Martinez,0.0,,,Low,Replace mechanical seal - excessive leaking
WO-24251,C-053,Chiller,Preventive,Open,2026-01-10,2026-01-14,,James Wilson,0.0,,,Medium,Routine maintenance and inspection
WO-25191,F-095,Forklift,Preventive,Completed,2026-01-10,2026-01-11,2026-01-11,Maria Garcia,0.0,3.4,CYL-873,High,Monthly calibration check
WO-25516,CT-089,Cooling Tower,Corrective,In Progress,2026-01-10,2026-01-11,,David Kim,0.0,,BEL-770,Critical,Motor overheating - thermal relay replaced
WO-24976,RA-060,Robotic Arm,Corrective,Completed,2026-01-10,2026-01-11,2026-01-13,Sarah Chen,13.7,22.0,IMP-544,Low,Bearing seizure - replacement required
WO-25651,C-081,Crane,Corrective,Completed,2026-01-09,2026-01-11,2026-01-11,Emily Davis,15.7,23.8,,High,Seal leaking - parts ordered
WO-25368,RA-060,Robotic Arm,Corrective,In Progress,2026-01-09,2026-01-12,,Jennifer Lee,12.3,,IMP-668,High,Multiple seal failures - contamination issue
WO-25083,F-040,Forklift,Preventive,Completed,2026-01-09,2026-01-14,2026-01-17,James Wilson,0.0,1.9,,Low,Weekly lubrication and inspection
WO-25592,F-034,Forklift,Preventive,In Progress,2026-01-09,2026-01-11,,Robert Johnson,0.0,,VAL-388,Medium,Monthly filter replacement
WO-24453,C-053,Chiller,Preventive,In Progress,2026-01-09,2026-01-11,,John Martinez,0.0,,,High,Quarterly PM - filters and oil change
WO-25034,F-048,Forklift,Emergency,Scheduled,2026-01-08,2026-01-10,,James Wilson,4.0,,,Medium,Replace mechanical seal - excessive leaking
WO-25677,RA-094,Robotic Arm,Corrective,In Progress,2026-01-08,2026-01-09,,Lisa Anderson,7.0,,,High,Pressure relief valve replacement
WO-24580,G-047,Gearbox,Preventive,Completed,2026-01-08,2026-01-09,2026-01-12,Robert Johnson,0.0,2.4,COM-706,Critical,Quarterly maintenance cycle
WO-24581,HP-088,Hydraulic Press,Preventive,In Progress,2026-01-08,2026-01-10,,Lisa Anderson,0.0,,CYL-570,Medium,Monthly filter replacement
WO-24067,HP-088,Hydraulic Press,Corrective,Scheduled,2026-01-08,2026-01-12,,John Martinez,12.2,,,High,Replace mechanical seal - excessive leaking
WO-24570,B-064,Boiler,Preventive,Open,2026-01-08,2026-01-11,,Robert Johnson,0.0,,,Medium,Quarterly maintenance cycle
WO-24260,CP-087,Centrifugal Pump,Preventive,Open,2026-01-08,2026-01-13,,David Kim,0.0,,MOT-464,Low,Quarterly maintenance cycle
WO-24040,M-041,Mixer,Corrective,In Progress,2026-01-08,2026-01-10,,Lisa Anderson,2.8,,CYL-800,Critical,Main drive bearing failure - emergency repair
WO-25145,B-070,Boiler,Preventive,Scheduled,2026-01-08,2026-01-13,,Maria Garcia,0.0,,,Medium,Monthly calibration check
WO-24144,HP-085,Hydraulic Pump,Corrective,Scheduled,2026-01-08,2026-01-13,,John Martinez,1.1,,ENC-176,Medium,Hydraulic cylinder failure - production down
WO-24969,CP-008,Centrifugal Pump,Corrective,Open,2026-01-08,2026-01-11,,Maria Garcia,11.4,,,Medium,Replace mechanical seal - excessive leaking
WO-25203,CT-026,Cooling Tower,Emergency,Scheduled,2026-01-08,2026-01-13,,Emily Davis,10.3,,,Medium,Replace mechanical seal - excessive leaking
WO-25335,HS-024,HVAC System,Corrective,Open,2026-01-08,2026-01-13,,Jennifer Lee,5.2,,FAN-713,High,Replace mechanical seal - excessive leaking
WO-25664,M-041,Mixer,Preventive,Completed,2026-01-08,2026-01-13,2026-01-13,Maria Garcia,0.0,1.3,COI-422,Medium,Quarterly PM - filters and oil change
WO-25196,B-064,Boiler,Preventive,Completed,2026-01-08,2026-01-09,2026-01-09,Jennifer Lee,0.0,3.9,,Medium,Weekly lubrication and inspection
WO-24018,CT-005,Cooling Tower,Corrective,Completed,2026-01-08,2026-01-09,2026-01-12,Sarah Chen,4.4,8.6,SER-954,High,Main drive bearing failure - emergency repair
WO-25087,G-092,Gearbox,Corrective,Scheduled,2026-01-07,2026-01-09,,Maria Garcia,8.5,,HOS-663,Low,Hydraulic cylinder failure - production down
