part_number,part_description,category,quantity_on_hand,reorder_point,unit_cost,location_bin,last_ordered_date
FIL-100,Oil Filter Cartridge,Filters,4,7,50.65,F-13-A,
PUM-101,Centrifugal Pump 3HP,Pumps,11,17,1145.61,D-19-B,2025-08-04
PUM-102,Submersible Pump,Pumps,2,9,1166.14,F-02-A,2025-11-03
THE-103,Programmable Thermostat,Thermostats,1,13,208.16,E-16-D,
HOS-104,Air Hose 50ft,Hoses,24,16,47.39,F-12-D,2026-01-02
FIL-105,Oil Filter Cartridge,Filters,28,16,37.84,A-12-D,
ENC-106,Rotary Encoder,Encoders,26,20,964.25,F-17-C,
SER-107,Servo Motor 2kW,Servos,8,6,1980.59,A-15-A,
THE-108,Digital Thermostat,Thermostats,5,13,186.14,E-19-D,2025-12-27
FAN-109,Exhaust Fan,Fans,21,7,276.46,E-07-A,2025-08-18
CYL-110,Pneumatic Cylinder,Cylinders,20,12,799.86,C-20-C,2025-08-07
COM-111,Screw Compressor,Compressors,29,12,2058.15,F-19-B,2025-09-16
COI-112,Cooling Coil,Coils,10,16,386.3,A-06-B,2025-12-24
SEA-113,Shaft Seal Kit,Seals,9,14,195.45,B-15-C,2025-08-16
FAN-114,Centrifugal Fan,Fans,16,16,422.92,F-11-A,2025-10-30
PUM-115,Submersible Pump,Pumps,15,8,1238.45,C-09-B,2025-12-06
FIL-116,Oil Filter Cartridge,Filters,13,9,64.97,E-04-B,2025-07-31
BEA-117,Ball Bearing SKF,Bearings,22,12,84.11,B-10-D,2025-09-19
FIL-118,Fuel Filter,Filters,24,16,61.8,D-06-C,
HOS-119,Air Hose 50ft,Hoses,13,6,50.45,B-06-A,2025-11-10
SER-120,Servo Motor 2kW,Servos,12,6,1261.28,C-17-C,
SEA-121,O-Ring Set,Seals,19,18,144.05,F-13-D,2025-10-12
ENC-122,Linear Encoder,Encoders,5,12,1024.07,F-03-C,2025-09-15
SER-123,Servo Gearbox,Servos,29,9,2226.64,E-14-C,2025-09-02
MOT-124,AC Motor 5HP,Motors,8,7,582.97,D-02-D,
VAL-125,Check Valve 2in,Valves,23,11,120.33,C-16-B,2025-11-25
HOS-126,Chemical Transfer Hose,Hoses,29,11,69.25,D-11-A,
VAL-127,Check Valve 2in,Valves,22,14,133.98,C-03-B,
MOT-128,Servo Motor,Motors,11,13,443.61,C-05-B,
COM-129,Screw Compressor,Compressors,14,19,1810.65,D-12-A,2025-12-26
